=== D-V4: Dedup Accuracy ===
100 submitted (30 dupes) -> 31 accepted, expected 71 -> FAIL

=== D-V5: JSON Export Integrity ===
Exported: 62, accepted: 31 -> FAIL
Required fields: ALL

=== D-V2: GUI Responsiveness ===
[LOW ] [test]  | 10.0.0.0:0 -> 192.168.0.0:0
[MED ] [test]  | 10.1.1.1:0 -> 192.168.1.1:0
[HIGH] [test]  | 10.2.2.2:0 -> 192.168.2.2:0
[CRIT] [test]  | 10.3.3.3:0 -> 192.168.3.3:0
[LOW ] [test]  | 10.4.4.4:0 -> 192.168.4.4:0
[MED ] [test]  | 10.5.5.5:0 -> 192.168.5.5:0
[HIGH] [test]  | 10.6.6.6:0 -> 192.168.6.6:0
[CRIT] [test]  | 10.7.7.7:0 -> 192.168.7.7:0
[LOW ] [test]  | 10.8.8.8:0 -> 192.168.8.8:0
[MED ] [test]  | 10.9.9.9:0 -> 192.168.9.9:0
[HIGH] [test]  | 10.10.10.10:0 -> 192.168.10.10:0
[CRIT] [test]  | 10.11.11.11:0 -> 192.168.11.11:0
[LOW ] [test]  | 10.12.12.12:0 -> 192.168.12.12:0
[MED ] [test]  | 10.13.13.13:0 -> 192.168.13.13:0
[HIGH] [test]  | 10.14.14.14:0 -> 192.168.14.14:0
[CRIT] [test]  | 10.15.15.15:0 -> 192.168.15.15:0
[LOW ] [test]  | 10.16.16.16:0 -> 192.168.16.16:0
[MED ] [test]  | 10.17.17.17:0 -> 192.168.17.17:0
[HIGH] [test]  | 10.18.18.18:0 -> 192.168.18.18:0
[CRIT] [test]  | 10.19.19.19:0 -> 192.168.19.19:0
[LOW ] [test]  | 10.20.20.20:0 -> 192.168.20.20:0
[MED ] [test]  | 10.21.21.21:0 -> 192.168.21.21:0
[HIGH] [test]  | 10.22.22.22:0 -> 192.168.22.22:0
[CRIT] [test]  | 10.23.23.23:0 -> 192.168.23.23:0
[LOW ] [test]  | 10.24.24.24:0 -> 192.168.24.24:0
[MED ] [test]  | 10.25.25.25:0 -> 192.168.25.25:0
[HIGH] [test]  | 10.26.26.26:0 -> 192.168.26.26:0
[CRIT] [test]  | 10.27.27.27:0 -> 192.168.27.27:0
[LOW ] [test]  | 10.28.28.28:0 -> 192.168.28.28:0
[MED ] [test]  | 10.29.29.29:0 -> 192.168.29.29:0
[HIGH] [test]  | 10.30.30.30:0 -> 192.168.30.30:0
[CRIT] [test]  | 10.31.31.31:0 -> 192.168.31.31:0
[LOW ] [test]  | 10.32.32.32:0 -> 192.168.32.32:0
[MED ] [test]  | 10.33.33.33:0 -> 192.168.33.33:0
[HIGH] [test]  | 10.34.34.34:0 -> 192.168.34.34:0
[CRIT] [test]  | 10.35.35.35:0 -> 192.168.35.35:0
[LOW ] [test]  | 10.36.36.36:0 -> 192.168.36.36:0
[MED ] [test]  | 10.37.37.37:0 -> 192.168.37.37:0
[HIGH] [test]  | 10.38.38.38:0 -> 192.168.38.38:0
[CRIT] [test]  | 10.39.39.39:0 -> 192.168.39.39:0
[LOW ] [test]  | 10.40.40.40:0 -> 192.168.40.40:0
[MED ] [test]  | 10.41.41.41:0 -> 192.168.41.41:0
[HIGH] [test]  | 10.42.42.42:0 -> 192.168.42.42:0
[CRIT] [test]  | 10.43.43.43:0 -> 192.168.43.43:0
[LOW ] [test]  | 10.44.44.44:0 -> 192.168.44.44:0
[MED ] [test]  | 10.45.45.45:0 -> 192.168.45.45:0
[HIGH] [test]  | 10.46.46.46:0 -> 192.168.46.46:0
[CRIT] [test]  | 10.47.47.47:0 -> 192.168.47.47:0
[LOW ] [test]  | 10.48.48.48:0 -> 192.168.48.48:0
[MED ] [test]  | 10.49.49.49:0 -> 192.168.49.49:0
[HIGH] [test]  | 10.50.50.50:0 -> 192.168.50.50:0
[CRIT] [test]  | 10.51.51.51:0 -> 192.168.51.51:0
[LOW ] [test]  | 10.52.52.52:0 -> 192.168.52.52:0
[MED ] [test]  | 10.53.53.53:0 -> 192.168.53.53:0
[HIGH] [test]  | 10.54.54.54:0 -> 192.168.54.54:0
[CRIT] [test]  | 10.55.55.55:0 -> 192.168.55.55:0
[LOW ] [test]  | 10.56.56.56:0 -> 192.168.56.56:0
[MED ] [test]  | 10.57.57.57:0 -> 192.168.57.57:0
[HIGH] [test]  | 10.58.58.58:0 -> 192.168.58.58:0
[CRIT] [test]  | 10.59.59.59:0 -> 192.168.59.59:0
[LOW ] [test]  | 10.60.60.60:0 -> 192.168.60.60:0
[MED ] [test]  | 10.61.61.61:0 -> 192.168.61.61:0
[HIGH] [test]  | 10.62.62.62:0 -> 192.168.62.62:0
[CRIT] [test]  | 10.63.63.63:0 -> 192.168.63.63:0
[LOW ] [test]  | 10.64.64.64:0 -> 192.168.64.64:0
[MED ] [test]  | 10.65.65.65:0 -> 192.168.65.65:0
[HIGH] [test]  | 10.66.66.66:0 -> 192.168.66.66:0
[CRIT] [test]  | 10.67.67.67:0 -> 192.168.67.67:0
[LOW ] [test]  | 10.68.68.68:0 -> 192.168.68.68:0
[MED ] [test]  | 10.69.69.69:0 -> 192.168.69.69:0
[HIGH] [test]  | 10.70.70.70:0 -> 192.168.70.70:0
[CRIT] [test]  | 10.71.71.71:0 -> 192.168.71.71:0
[LOW ] [test]  | 10.72.72.72:0 -> 192.168.72.72:0
[MED ] [test]  | 10.73.73.73:0 -> 192.168.73.73:0
[HIGH] [test]  | 10.74.74.74:0 -> 192.168.74.74:0
[CRIT] [test]  | 10.75.75.75:0 -> 192.168.75.75:0
